course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num,section_type
3,2017-01-13Z,2016-12-19Z,ECON,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given for ECON 102 and ACE 100.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ECON/102/10019.xml,SBS,,ARRANGED,,Microeconomic Principles,102,,winter,1,2017,10019,I,Sarmiento Barbieri,Credit is not given for ECON 102 and ACE 100.,ONL,Online
3,2017-01-13Z,2016-12-19Z,ECON,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given for ECON 102 and ACE 100.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ECON/102/10019.xml,SBS,,ARRANGED,,Microeconomic Principles,102,,winter,1,2017,10019,J,Vazquez,Credit is not given for ECON 102 and ACE 100.,ONL,Online
3,2017-01-13Z,2016-12-19Z,BADM,"Explores methods of design and management of manufacturing and service business processes; central concepts include managing process-speed, -capacity, -inventory, and -uncertainty; additional topics include simultaneous product and process design, and an introduction to quality management, process improvement and lean thinking.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/BADM/375/10016.xml,,,ARRANGED,,Business Process Management,375,,winter,1,2017,10016,D,Chhajed,,A  ,Online
3,2017-01-13Z,2016-12-19Z,BADM,"Examines the information technology and its impact on modern organizations. Topics include: (1) IT, Internet Technologies, E-Commerce and business models, (2) organizing and modeling enterprise data, (3) Network protocol and architecture, (4) development of IT systems, and (5) IT management and organization design.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/BADM/350/10015.xml,,,ARRANGED,,IT for Networked Organizations,350,,winter,1,2017,10015,V,Sachdev,,A  ,Online
3,2017-01-13Z,2016-12-19Z,BADM,"General analysis of management and organizational behavior from a systems point of view, including classical organizational theory and management, organizational behavior, and management science; environmental forces; planning, organizing, and control processes; motivation, incentives, leadership, communication, and interpersonal relations; and discussion of production and decision-making and mathematical models.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/BADM/310/10014.xml,,,ARRANGED,,Mgmt and Organizational Beh,310,,winter,1,2017,10014,M,Shabbir,,A  ,Online
3,2017-01-13Z,2016-12-19Z,BADM,"Introduction to law and the legal system, tort law, products liability, agency law, introduction to business organizations, introduction to government regulation, securities regulation, antitrust law.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/BADM/300/10013.xml,,,ARRANGED,,The Legal Environment of Bus,300,,winter,1,2017,10013,G,Marrs,,A  ,Online
4,2017-01-13Z,2016-12-19Z,PSYC,"Study of human behavior with special reference to perception, learning, memory, thinking, emotional life, and individual differences in intelligence, aptitude, and personality; emphasis on the scientific nature of psychological investigations; and discussion of research methods and the relation of their results to daily life and everyday problems. Lectures, discussions, and six hours of participation as a subject in psychological experiments. Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/PSYC/100/10034.xml,SBS,,ARRANGED,,Intro Psych,100,,winter,1,2017,10034,A,DeCeanne,Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.,A  ,Online
4,2017-01-13Z,2016-12-19Z,PSYC,"Study of human behavior with special reference to perception, learning, memory, thinking, emotional life, and individual differences in intelligence, aptitude, and personality; emphasis on the scientific nature of psychological investigations; and discussion of research methods and the relation of their results to daily life and everyday problems. Lectures, discussions, and six hours of participation as a subject in psychological experiments. Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/PSYC/100/10034.xml,SBS,,ARRANGED,,Intro Psych,100,,winter,1,2017,10034,C,Shenouda,Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.,A  ,Online
3,2017-01-13Z,2016-12-19Z,GWS,Same as MACS 356. See MACS 356.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/GWS/356/10025.xml,CS,,ARRANGED,,Sex & Gender in Popular Media,356,,winter,1,2017,10025,C,Cole,Same as MACS 356. See MACS 356.,B  ,Online
3,2017-01-13Z,2016-12-19Z,GWS,Same as MACS 356. See MACS 356.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/GWS/356/10012.xml,CS,,ARRANGED,,Sex & Gender in Popular Media,356,,winter,1,2017,10012,A,Valdivia,Same as MACS 356. See MACS 356.,A  ,Online
